Date,Open,High,Low,Close,Volume
7/17/18,3240.35,3247.84,3226.05,3239.64,228694896
7/18/18,3251.28,3258.93,3239.93,3240.5,242573168
7/19/18,3255.95,3283.92,3249.73,3277.58,181600000
7/20/18,3291.44,3298.77,3281.34,3297.83,199602896
7/23/18,3294.52,3297.94,3278.14,3293.71,177514080
7/24/18,3295.32,3308.42,3286.43,3292.65,252493696
7/25/18,3304.55,3333.38,3301.85,3326.83,237223104
7/26/18,3328.44,3341.42,3322.82,3328.6,235416608
7/27/18,3332.92,3336.22,3310.74,3324.98,161176896
7/30/18,3314.55,3320.1,3301.12,3307.15,128308896
7/31/18,3284.4,3331.27,3284.22,3319.85,341854592
8/1/18,3331.05,3338.92,3308.9,3328.95,210366560
8/2/18,3329.05,3329.19,3278.84,3286.32,191130704
8/3/18,3300.59,3311.64,3264.61,3265.73,199211632
8/6/18,3284.68,3305.23,3278.15,3285.34,278496800
8/7/18,3297.91,3347.98,3297.78,3340,281899584
8/8/18,3336.22,3341.52,3308.72,3326.74,309429568
8/10/18,3295.73,3296.08,3273.57,3284.78,284681856
8/13/18,3267.94,3268.77,3239.32,3245.34,290510912
8/14/18,3243.27,3253.09,3231.97,3242.87,236715808
8/15/18,3240.93,3242.06,3217.89,3234.12,310690304
8/16/18,3220.85,3230.75,3207.25,3211.93,222183904
8/17/18,3233.88,3244.12,3203.33,3209.44,257454400
8/20/18,3211.08,3222.84,3200.54,3204.71,219423296
8/21/18,3194.18,3212.14,3187.83,3199.89,176836304
8/23/18,3230.19,3256.24,3229.93,3249.89,354385312
8/24/18,3239.09,3239.47,3211.48,3213,215330768
8/27/18,3223.41,3237.66,3222.12,3225.62,176150352
8/28/18,3244.26,3263.14,3239.27,3247.55,213162304
8/29/18,3251.01,3256.61,3239.44,3243.92,154200624
8/30/18,3247.14,3252.58,3217.32,3225.72,207470400
8/31/18,3200.37,3227.6,3199.34,3213.48,370878432
9/3/18,3209.97,3213.89,3193.86,3207.2,253678784
9/4/18,3205.58,3218.76,3203.02,3210.51,155396896
9/5/18,3199.63,3208.81,3151.83,3156.28,196372896
9/6/18,3158.83,3166.51,3139.99,3147.69,244424704
9/7/18,3133.97,3140.03,3119.89,3134.39,234505088
9/10/18,3131.2,3131.44,3105.36,3120.92,207303296
9/11/18,3115.47,3119.01,3103.94,3109.91,184106000
9/12/18,3106.99,3132.11,3102.73,3124.65,223062800
9/13/18,3129.92,3139.48,3114.74,3131.77,220516480
9/14/18,3146.22,3163.85,3142.96,3161.42,205642896
9/17/18,3149.71,3150.83,3133.37,3141.4,136272400
9/18/18,3122.88,3140.22,3110.79,3139.34,208219296
9/19/18,3143.46,3181.5,3139.49,3176.57,211498800
9/20/18,3180.43,3189.31,3172.64,3180.43,172136096
9/21/18,3206.94,3225.4,3199.89,3217.68,399300992
9/24/18,3215.69,3232.61,3213.28,3219.16,153755008
9/25/18,3229.9,3243.24,3226.49,3236.08,175286096
